event_id,year,event_label,geography,metric,baseline_stratum,full_valid_population_denominator,stratum_population,stratum_population_fraction,additive_population_weighted_contribution,full_population_weighted_contribution,stratum_share_of_project_contribution
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,cross_city_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,32.58948895635594,40.9301446776213,0.7962221783734461
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,cross_city_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,8.340655721265351,40.9301446776213,0.20377782162655375
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,total_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,819.0831685402413,1499.5031110419122,0.5462363915811491
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,total_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,680.4199425016707,1499.5031110419122,0.4537636084188507
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Dongguan,coverage,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Dongguan,coverage,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Dongguan,cross_city_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Dongguan,cross_city_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Dongguan,total_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Dongguan,total_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
